Turmas,Total Alunos,(%) de Participação,(%) de Acertos,Evolução,PORT,MAT,HIST,GEO,ING,CIE,ED FIN,FÍS,QUI,BIO,ARTE,EMPR,ORA,QUI APL,GEO POL,FILO SOC,BIO TEC,FILO,SOC,LID,PROG,TEC INO,ING IF,OE PORT,OE MAT
1ª SERIE G INTEGRAL 9H ANUAL - 40320251,40,93.8%,65.2%,0.12,64.5%,56.4%,66.1%,71.4%,0.0%,0.0%,75.7%,69.5%,64.9%,73.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,65.1%,0.0%,0.0%,0.0%,0.0%,54.2%,0.0%,0.0%
1ª SERIE E INTEGRAL 9H ANUAL - 40112287,41,98.8%,61.6%,0.10,64.3%,56.4%,60.7%,64.0%,0.0%,0.0%,79.6%,56.8%,55.6%,71.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.6%,0.0%,0.0%,0.0%,0.0%,53.2%,0.0%,0.0%
1ª SERIE F INTEGRAL 9H ANUAL - 40112282,44,98.9%,53.1%,0.01,51.4%,50.0%,54.5%,52.0%,0.0%,0.0%,69.8%,50.5%,46.8%,64.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,53.7%,0.0%,0.0%,0.0%,0.0%,42.7%,0.0%,0.0%
1ª SERIE D INTEGRAL 9H ANUAL - 40112286,43,91.9%,52.0%,0.13,50.3%,46.6%,56.4%,58.0%,0.0%,0.0%,59.2%,49.3%,50.3%,58.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.5%,0.0%,0.0%,0.0%,0.0%,42.6%,0.0%,0.0%
1ª SERIE B INTEGRAL 9H ANUAL - 40112288,40,97.5%,48.0%,-0.01,52.6%,38.3%,52.9%,60.3%,0.0%,0.0%,67.1%,35.2%,40.1%,47.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.6%,0.0%,0.0%,0.0%,0.0%,41.0%,0.0%,0.0%
1ª SERIE C INTEGRAL 9H ANUAL - 40112289,40,95.0%,47.7%,-0.02,50.7%,33.1%,54.6%,53.6%,0.0%,0.0%,68.9%,41.0%,39.8%,53.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.3%,0.0%,0.0%,0.0%,0.0%,42.1%,0.0%,0.0%
1ª SERIE A INTEGRAL 9H ANUAL - 40112285,42,97.6%,45.6%,-0.04,51.7%,32.9%,47.9%,56.4%,0.0%,0.0%,71.5%,35.2%,33.5%,52.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,46.3%,0.0%,0.0%,0.0%,0.0%,35.6%,0.0%,0.0%
Total,290,96.2%,53.3%,0.04,55.0%,44.8%,56.1%,59.2%,0.0%,0.0%,70.2%,48.0%,47.1%,60.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.5%,0.0%,0.0%,0.0%,0.0%,44.4%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Applied filters:
DS_MODALIDADE is ENSINO MÉDIO
NM_SERIE is 1ª SERIE
DS_TURNO is INTEGRAL
NM_DIRETORIA is SUMARE
NM_ESCOLA is PORPHYRIO DA PAZ GENERAL - 18892
CD_ESCOLA is 18892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
